iter	RMSE
0	2618397.224
1	2579412.177
2	2539177.231
3	2500391.209
4	2461577.589
5	2423803.567
6	2386451.556
7	2349930.159
8	2313692.082
9	2278663.942
10	2245150.441
11	2211025.26
12	2178167.163
13	2144955.512
14	2114389.39
15	2082178.34
16	2051125.479
17	2020493.899
18	1992411.451
19	1962528.118
20	1932900.013
21	1904848.111
22	1878784.638
23	1850875.403
24	1826275.674
25	1799855.533
26	1774306.375
27	1749470.148
28	1725137.009
29	1700660.86
30	1677084.49
31	1654267.535
32	1631422.884
33	1608840.189
34	1587780.829
35	1565988.476
36	1544220.496
37	1522612.538
38	1503861.37
39	1483767.876
40	1466877.725
41	1448652.627
42	1429653.725
43	1410181.147
44	1392188.151
45	1374818.183
46	1357938.996
47	1340629.528
48	1323898.259
49	1307127.476
50	1293066.967
51	1276392.524
52	1259777.118
53	1245950.247
54	1230291.233
55	1215439.351
56	1202135.37
57	1188552.784
58	1173723.293
59	1161692.223
60	1149481.55
61	1136449.268
62	1123536.018
63	1111398.486
64	1098886.749
65	1087476.137
66	1076218.104
67	1064259.63
68	1052673.179
69	1041251.84
70	1029787.753
71	1018580.742
72	1008349.405
73	998782.9976
74	988112.0083
75	977195.4918
76	968082.204
77	958383.885
78	949513.606
79	939947.2939
80	931569.8937
81	922967.3265
82	914015.2637
83	905819.4398
84	898490.259
85	891828.1508
86	883872.9126
87	876089.9695
88	868211.2286
89	861400.0802
90	853701.0282
91	846483.4795
92	840008.9971
93	832710.9764
94	825874.2848
95	819632.1685
96	813382.8425
97	806862.8208
98	800660.2781
99	794594.7513
100	788251.6435
101	782002.7079
102	776255.8553
103	770417.5588
104	764977.3827
105	759429.1748
106	754001.4463
107	748306.1997
108	743443.1758
109	739411.5898
110	734318.395
111	729415.0117
112	724979.171
113	720394.6689
114	715589.5464
115	711068.556
116	706944.1746
117	702840.1006
118	698372.5597
119	694475.5758
120	690689.3467
121	686538.2832
122	682953.389
123	679518.3894
124	676003.175
125	672585.7817
126	668815.1977
127	665101.0862
128	661357.874
129	658312.9953
130	655318.4847
131	652210.0195
132	648885.8225
133	645666.8704
134	642274.7995
135	639587.1465
136	637004.6917
137	634060.2791
138	630913.7009
139	628417.8967
140	625382.3434
141	622573.1067
142	619662.502
143	616964.269
144	614313.8106
145	611727.1541
146	609398.6403
147	606464.9388
148	604157.668
149	601741.2662
150	599039.4395
151	596476.0595
152	594050.5694
