iter	Passed	Remaining
0	1	1607
1	1	1354
2	2	1268
3	3	1210
4	3	1167
5	4	1152
6	5	1148
7	6	1129
8	6	1114
9	7	1104
10	8	1099
11	8	1094
12	9	1094
13	10	1101
14	11	1098
15	11	1097
16	12	1097
17	13	1102
18	14	1097
19	14	1090
20	15	1084
21	16	1127
22	17	1120
23	18	1115
24	18	1111
25	19	1107
26	20	1103
27	20	1099
28	21	1094
29	22	1090
30	23	1092
31	23	1091
32	24	1088
33	25	1087
34	25	1085
35	26	1082
36	27	1080
37	28	1079
38	28	1077
39	29	1076
40	30	1077
41	31	1078
42	31	1080
43	32	1079
44	33	1079
45	34	1078
46	34	1078
47	35	1076
48	36	1076
49	37	1076
50	37	1075
51	38	1076
52	39	1078
53	40	1078
54	41	1079
55	41	1080
56	42	1081
57	43	1083
58	44	1085
59	45	1084
60	45	1082
61	46	1084
62	47	1085
63	48	1085
64	49	1085
65	49	1084
66	50	1085
67	51	1086
68	52	1086
69	53	1085
70	53	1086
71	54	1085
72	55	1083
73	56	1081
74	56	1079
75	57	1077
76	58	1076
77	58	1074
78	59	1072
79	60	1071
80	61	1070
81	61	1069
82	62	1067
83	63	1067
84	64	1066
85	64	1064
86	65	1064
87	66	1064
88	67	1062
89	67	1060
90	68	1058
91	69	1057
92	69	1055
93	70	1053
94	71	1052
95	71	1052
96	72	1050
97	73	1049
98	74	1047
99	74	1045
100	75	1044
101	76	1043
102	76	1041
103	77	1041
104	78	1041
105	79	1040
106	79	1038
107	80	1038
108	81	1037
109	81	1036
110	82	1034
111	83	1032
112	84	1032
113	84	1031
114	85	1030
115	86	1028
116	86	1027
117	87	1026
118	88	1025
119	89	1026
120	90	1027
121	90	1026
122	91	1026
123	92	1025
124	93	1025
125	93	1024
126	94	1022
127	95	1021
128	95	1019
129	96	1018
130	97	1017
131	98	1016
132	98	1014
133	99	1014
134	100	1012
135	100	1011
136	101	1010
137	102	1009
138	103	1008
139	103	1007
140	104	1005
141	105	1005
142	105	1003
143	106	1002
144	107	1002
145	108	1002
146	108	1002
147	109	1001
148	110	1000
149	111	999
150	111	998
151	112	997
152	113	995
153	113	995
154	114	994
155	115	993
156	116	993
157	116	993
158	117	993
159	118	992
160	119	992
161	120	991
162	120	990
163	121	989
164	122	988
165	122	987
166	123	986
167	124	985
168	125	984
169	125	983
170	126	982
171	127	981
172	127	981
173	128	980
174	129	980
175	130	979
176	130	978
177	131	977
178	132	976
179	133	975
180	133	974
181	134	973
182	135	973
183	135	972
184	136	970
185	137	969
186	137	968
187	138	968
188	139	967
189	140	966
190	140	965
191	142	969
192	143	968
193	143	967
194	144	966
195	145	965
196	145	964
197	146	963
198	147	962
199	147	961
200	148	961
201	149	960
202	150	959
203	151	959
204	151	959
205	152	958
206	153	958
207	154	957
208	154	956
209	155	955
210	156	954
211	157	953
212	157	953
213	158	952
214	159	951
215	159	950
216	160	949
217	161	948
218	162	947
219	162	947
220	163	946
221	164	945
222	165	944
223	165	944
224	166	943
225	167	942
226	167	941
227	168	940
228	169	939
229	170	938
230	170	937
231	171	937
232	172	936
233	172	935
234	173	934
235	174	934
236	175	933
237	175	932
238	176	931
239	177	930
240	178	930
241	178	929
242	179	929
243	180	928
244	181	928
245	181	927
246	182	926
247	183	926
248	184	929
249	185	928
250	186	927
251	187	926
252	187	925
253	188	924
254	189	924
255	189	923
256	190	922
257	191	921
258	192	920
259	192	919
260	193	918
261	194	917
262	195	917
263	195	916
264	196	916
265	197	915
266	198	914
267	198	913
268	199	913
269	200	912
270	200	911
271	201	910
272	202	909
273	203	909
274	203	908
275	204	908
276	205	907
277	206	906
278	206	905
279	207	904
280	208	903
281	209	902
282	209	902
283	210	901
284	211	900
285	211	899
286	212	898
287	213	897
288	214	896
289	214	895
290	215	895
291	216	894
292	216	893
293	217	892
294	218	891
295	219	891
296	219	891
297	220	890
298	221	889
299	222	888
300	222	887
301	223	887
302	224	886
303	225	885
304	225	884
305	226	883
306	227	882
307	227	882
308	228	881
309	229	880
310	230	879
311	230	878
312	231	878
313	232	877
314	233	877
315	233	876
316	234	875
317	235	874
318	235	873
319	236	872
320	237	871
321	237	870
322	238	870
323	239	869
324	240	869
325	241	868
326	241	867
327	242	866
328	243	865
329	244	865
330	244	864
331	245	863
332	246	862
333	246	861
334	247	861
335	248	860
336	249	860
337	249	859
338	250	858
339	251	857
340	252	857
341	252	856
342	253	855
343	254	854
344	255	854
345	256	853
346	256	853
347	257	852
348	258	851
349	258	850
350	259	850
351	260	849
352	261	848
353	261	848
354	262	847
355	263	846
356	264	846
357	265	845
358	265	844
359	266	843
360	267	843
361	267	842
362	268	841
363	269	841
364	270	840
365	270	839
366	271	838
367	272	839
368	273	838
369	274	837
370	274	836
371	275	835
372	276	835
373	277	834
374	277	833
375	278	832
376	279	832
377	280	831
378	280	830
379	281	829
380	282	828
381	282	827
382	283	826
383	284	826
384	285	825
385	285	825
386	286	824
387	287	823
388	288	823
389	288	822
390	289	821
391	290	821
392	291	820
393	292	820
394	293	820
395	294	819
396	294	819
397	295	818
398	296	818
399	297	817
400	298	817
401	298	816
402	299	816
403	300	815
404	301	815
405	302	814
406	302	813
407	303	813
408	304	812
409	305	811
410	306	811
411	307	811
412	307	810
413	308	810
414	309	809
415	310	809
416	311	809
417	312	809
418	313	808
419	314	808
420	315	807
421	315	807
422	316	806
423	317	806
424	318	805
425	319	805
426	320	805
427	321	804
428	322	804
429	323	803
430	323	803
431	324	802
432	325	802
433	326	801
434	326	800
435	327	799
436	328	798
437	329	797
438	329	797
439	330	796
440	331	795
441	331	794
442	332	793
443	333	792
444	334	792
445	334	791
446	335	790
447	336	789
448	337	789
449	337	788
450	338	787
451	339	786
452	339	785
453	340	784
454	341	783
455	342	783
456	343	783
457	344	783
458	344	782
459	345	781
460	346	780
461	346	779
462	347	778
463	348	777
464	348	776
465	349	775
466	350	774
467	350	773
468	351	772
469	352	771
470	352	770
471	353	769
472	354	768
